customer_id,product,viewed,clicked,applied,approved,used
C100000,Personal Loan,1,1,0,0,0
C100000,Travel Credit Card,1,0,0,0,0
C100001,Fixed Deposit,1,1,0,0,0
C100001,Term Insurance,1,1,1,1,1
C100002,Investment Plan (Mutual Fund SIP),1,1,0,0,0
C100002,Home Loan,1,0,0,0,0
C100002,Premium Credit Card,1,1,1,0,0
C100002,Cashback Credit Card,1,0,0,0,0
C100002,Fixed Deposit,1,1,0,0,0
C100003,Investment Plan (Mutual Fund SIP),1,0,0,0,0
C100004,Home Loan,1,1,0,0,0
C100004,Term Insurance,1,0,0,0,0
C100004,Premium Banking Account,1,0,0,0,0
C100006,Investment Plan (Mutual Fund SIP),1,0,0,0,0
C100006,Recurring Deposit,1,0,0,0,0
C100007,Premium Banking Account,1,1,1,0,0
C100007,Travel Credit Card,1,0,0,0,0
C100007,Recurring Deposit,1,1,1,0,0
C100007,Investment Plan (Mutual Fund SIP),1,1,0,0,0
C100007,Fuel Credit Card,1,1,1,1,1
C100008,Personal Loan,1,1,1,1,0
C100009,Premium Credit Card,1,1,0,0,0
C100009,Home Loan,1,0,0,0,0
C100009,Investment Plan (Mutual Fund SIP),1,1,0,0,0
C100009,Cashback Credit Card,1,1,0,0,0
C100010,Term Insurance,1,1,1,1,1
C100010,Fixed Deposit,1,1,0,0,0
C100010,Cashback Credit Card,1,1,1,1,1
C100010,Fuel Credit Card,1,1,0,0,0
C100011,Fixed Deposit,1,1,0,0,0
C100011,Premium Credit Card,1,1,1,0,0
C100013,Cashback Credit Card,1,1,0,0,0
C100013,Investment Plan (Mutual Fund SIP),1,1,0,0,0
C100013,Fuel Credit Card,1,0,0,0,0
C100014,Premium Banking Account,1,1,0,0,0
C100014,Investment Plan (Mutual Fund SIP),1,1,0,0,0
C100014,Term Insurance,1,1,1,0,0
C100014,Cashback Credit Card,1,1,0,0,0
C100015,Investment Plan (Mutual Fund SIP),1,1,0,0,0
C100015,Home Loan,1,1,0,0,0
C100017,Recurring Deposit,1,1,0,0,0
C100017,Premium Banking Account,1,1,1,0,0
C100017,Home Loan,1,1,0,0,0
C100018,Investment Plan (Mutual Fund SIP),1,0,0,0,0
C100018,Recurring Deposit,1,0,0,0,0
C100018,Premium Banking Account,1,1,1,0,0
C100019,Fuel Credit Card,1,1,0,0,0
C100020,Travel Credit Card,1,1,0,0,0
C100020,Recurring Deposit,1,1,1,0,0
C100020,Premium Credit Card,1,1,0,0,0
C100021,Recurring Deposit,1,0,0,0,0
C100021,Premium Banking Account,1,1,0,0,0
C100021,Premium Credit Card,1,1,0,0,0
C100022,Term Insurance,1,0,0,0,0
C100022,Fixed Deposit,1,1,1,1,1
C100022,Premium Banking Account,1,1,0,0,0
C100022,Home Loan,1,0,0,0,0
C100022,Fuel Credit Card,1,0,0,0,0
C100023,Travel Credit Card,1,0,0,0,0
C100023,Term Insurance,1,0,0,0,0
C100024,Recurring Deposit,1,1,1,1,1
C100024,Premium Credit Card,1,1,1,0,0
C100024,Premium Banking Account,1,0,0,0,0
C100024,Fuel Credit Card,1,1,1,1,1
C100025,Home Loan,1,0,0,0,0
C100025,Travel Credit Card,1,1,1,1,1
C100025,Premium Credit Card,1,0,0,0,0
C100025,Cashback Credit Card,1,1,1,0,0
C100025,Fixed Deposit,1,0,0,0,0
C100026,Recurring Deposit,1,1,0,0,0
C100026,Personal Loan,1,1,0,0,0
C100026,Home Loan,1,0,0,0,0
C100028,Premium Credit Card,1,0,0,0,0
C100028,Fuel Credit Card,1,1,0,0,0
C100028,Investment Plan (Mutual Fund SIP),1,1,1,1,1
C100028,Premium Banking Account,1,1,1,1,1
C100028,Travel Credit Card,1,1,0,0,0
C100029,Premium Credit Card,1,1,0,0,0
C100029,Cashback Credit Card,1,1,0,0,0
C100029,Recurring Deposit,1,1,1,0,0
C100029,Term Insurance,1,0,0,0,0
C100029,Personal Loan,1,1,0,0,0
C100030,Fuel Credit Card,1,1,1,0,0
C100030,Term Insurance,1,1,1,1,1
C100031,Recurring Deposit,1,0,0,0,0
C100031,Premium Credit Card,1,1,0,0,0
C100031,Fuel Credit Card,1,0,0,0,0
C100032,Premium Banking Account,1,1,0,0,0
C100032,Fuel Credit Card,1,1,0,0,0
C100032,Fixed Deposit,1,0,0,0,0
C100032,Cashback Credit Card,1,1,1,1,1
C100033,Cashback Credit Card,1,0,0,0,0
C100033,Fixed Deposit,1,0,0,0,0
C100033,Recurring Deposit,1,1,0,0,0
C100033,Investment Plan (Mutual Fund SIP),1,0,0,0,0
C100034,Investment Plan (Mutual Fund SIP),1,1,1,1,1
C100034,Travel Credit Card,1,1,1,1,1
C100035,Personal Loan,1,0,0,0,0
C100036,Recurring Deposit,1,0,0,0,0
C100037,Home Loan,1,0,0,0,0
C100037,Fuel Credit Card,1,1,1,1,1
C100038,Term Insurance,1,1,0,0,0
C100038,Cashback Credit Card,1,0,0,0,0
C100038,Fuel Credit Card,1,0,0,0,0
C100038,Fixed Deposit,1,1,1,1,1
C100038,Travel Credit Card,1,0,0,0,0
C100039,Home Loan,1,1,1,1,1
C100039,Premium Credit Card,1,0,0,0,0
C100042,Investment Plan (Mutual Fund SIP),1,1,1,1,1
C100043,Investment Plan (Mutual Fund SIP),1,1,1,0,0
C100044,Term Insurance,1,1,0,0,0
C100044,Recurring Deposit,1,1,1,1,1
C100044,Travel Credit Card,1,1,0,0,0
C100044,Investment Plan (Mutual Fund SIP),1,0,0,0,0
C100045,Investment Plan (Mutual Fund SIP),1,0,0,0,0
C100045,Cashback Credit Card,1,1,1,1,1
C100045,Premium Banking Account,1,0,0,0,0
C100047,Personal Loan,1,1,0,0,0
C100047,Travel Credit Card,1,1,1,1,0
C100047,Home Loan,1,1,0,0,0
